SL,timestamp,sensor_00,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,machine_status
1,18/04/18 0:30,1.093982,42.53472,47.69965,41.44964981,206.0387573,60.30106,12.30469,15.1548,14.18547,13.86719,28.30488,BROKEN
2,19/05/18 3:18,2.258796,47.26563,52.73437,43.44617844,200.1157379,66.14643,13.5923,15.91435,15.14757,14.79311,43.99886,BROKEN
3,25/05/18 0:30,2.321759,47.48264,51.47569275,42.7951355,612.1528,67.30158,14.0625,16.6088,15.94329,15.59606,27.09298,BROKEN
4,28/06/18 22:00,0.3640046,40.19097,45.22569,40.19097137,201.3686218,0,11.33536,15.27054,15.18374,15.11863,2.002474,BROKEN
5,08/07/18 0:11,0.001967593,45.13889,52.90799,45.3559,500,1.40131,0.028935185,0.03616898,0.03616898,0.007233796,25.97765,BROKEN
6,25/07/18 14:00,2.318808,45.83333206,52.99479,43.88021,420.5034485,72.5204,14.18547,16.24711,15.69734,15.05353,36.71748,BROKEN
7,12/04/18 21:56,0,53.55902,52.77777,43.40277481,204.7250977,53.74214,3.045428,17.42621,15.74074,16.17477,40.31071,RECOVERING
8,12/04/18 21:57,0,53.55902,52.77777,43.40277481,201.1371307,52.49996,7.537616,13.53443,9.324364,16.05179,38.93098,RECOVERING
9,12/04/18 21:58,0,52.77777,52.69097,43.40277,204.0306549,57.19875,7.609953,16.6088,16.2037,16.0952,33.43375,RECOVERING
10,12/04/18 21:59,0,52.60416,52.73437,43.44618,203.567688,50.96181,7.573785,16.70284,16.1603,16.08796,33.13226,RECOVERING
11,12/04/18 22:00,,52.51736,52.69097,43.44618,203.567688,49.78948,7.559317,16.56539,16.23987,16.05179,35.34599,RECOVERING
12,12/04/18 22:01,,52.51736,52.69097,43.44618,203.567688,49.78948,7.559317,16.56539,16.23987,16.05179,35.34599,RECOVERING
13,12/04/18 22:02,,52.69097,52.69097,43.44618,202.9889832,52.60891,7.537616,16.56539,16.1603,16.0952,34.3512,RECOVERING
14,12/04/18 22:03,,52.73437,52.69097,43.44618,201.9473267,27.16422,3.920717,16.52199,16.03009,16.09519577,15.95249,RECOVERING
15,12/04/18 22:04,,51.5191,52.56076,43.44618,201.2528687,4.165132,6.510417,16.70284,15.95052,16.0952,3.300802,RECOVERING
16,12/04/18 22:05,,50.21701,52.38715,43.48958,200.0954742,0.6386461,6.582755,16.78964,9.613715,16.1386,10.43167,RECOVERING
17,12/04/18 22:06,,49.30555,52.51736,43.48958,201.6000977,0.09792463,6.445313,16.70284,17.55642,16.1385994,19.66341,RECOVERING
18,12/04/18 22:07,,48.65451,52.51736,43.57639,2.873263836,0.01501494,6.510417,15.63223,7.747396,16.1386,17.78245,RECOVERING
19,12/04/18 22:08,,48.22049,52.56076,43.61979,3.104745269,0.002302264,6.51765,15.34288,0.02893518,16.68113,16.21461,RECOVERING
20,12/04/18 22:09,,48.00347,52.60416,43.66319,3.104745269,0.000342148,6.503183,15.34288,0.028935185,16.50752,14.83474,RECOVERING
21,12/04/18 22:10,,47.96007,52.69097,43.66319,3.104745269,0,6.481482,15.29948,0.028935185,16.68113,13.59052,RECOVERING
22,12/04/18 22:11,,47.91666,52.69097,43.7066,2.873263836,0,6.467014,15.24161,0.02893518,16.7173,14.23119,RECOVERING
23,12/04/18 22:12,,47.82986,52.69097,43.7934,2.873263836,0,6.510417,14.97396,0.03616898,16.68113,13.30308,RECOVERING
24,12/04/18 22:13,,47.82986,52.69097,43.8368,3.104745269,0,6.481482,0.03616898,0.03616898,16.6305,11.11487,RECOVERING
25,12/04/18 22:14,,47.91666,52.73437,43.8368,3.104745269,0,6.481482,0.036168981,0.02893518,16.6305,9.487848,RECOVERING
26,01/04/18 0:03,2.460474,47.09201,53.1684,46.39756775,628.125,76.98898,13.31742,16.24711,15.69734,15.08247,38.57977,NORMAL
27,01/04/18 0:04,2.445718,47.13541,53.2118,46.39756775,636.4583,76.58897,13.35359,16.21094,15.69734,15.08247,39.48939,NORMAL
28,01/04/18 0:05,2.453588,47.09201,53.1684,46.39756775,637.6157,78.18568,13.41146,16.16753,15.89265,15.16204,39.29406,NORMAL
29,01/04/18 0:06,2.455556,47.04861,53.16839981,46.39756775,633.3333,75.81614,13.43316,16.13136,15.65393,15.08247,38.29974,NORMAL
30,01/04/18 0:07,2.449653,47.13541,53.16839981,46.39756775,630.6713,75.77331,13.25231,16.12413,16.19647,15.08247,37.3396,NORMAL
31,01/04/18 0:08,2.463426,47.09201,53.16839981,46.39756775,631.9444,74.58916,13.28848,16.13136,15.47309,15.11863,38.45401,NORMAL
32,01/04/18 0:09,2.445718,47.17882,53.1684,46.39756775,641.7823,74.57428,13.38252,16.24711,15.61777,15.11863,39.52119,NORMAL
33,01/04/18 0:10,2.46441,47.48264,53.125,46.39756775,637.7314,76.05148,13.41146,16.16753,15.65393,15.11863,39.90199,NORMAL
34,01/04/18 0:11,2.444734,47.91666,53.1684,46.39756775,635.6482,74.58654,13.41146,16.16753,15.84925,15.11863,39.78521,NORMAL
35,01/04/18 0:12,2.460474,48.26389,53.125,46.39756775,630.0926,76.95988,13.34635,16.16753,15.73351,15.01013,40.04284,NORMAL
36,01/04/18 0:13,2.448669,48.4375,53.1684,46.39756775,638.6574,75.6731,13.31742,16.16753,15.84925,15.16927,40.90296,NORMAL
37,01/04/18 0:14,2.453588,48.56771,53.1684,46.39756775,632.4074,80.65949,13.38976,16.13136,15.53096,15.0897,41.82584,NORMAL
38,01/04/18 0:15,2.455556,48.3941,53.125,46.39757,642.3611,78.13193,13.35359,16.21094,15.45139,15.12587,43.12774,NORMAL
39,01/04/18 0:16,2.449653,48.3941,53.1684,46.31076,630.2084,77.89381,13.30295,16.16753,15.89265,15.08247,43.59909,NORMAL
40,01/04/18 0:17,2.463426,48.4809,53.68924,46.3107605,643.6343,77.30572,13.34635,16.16753,15.61777,15.01013,43.86082,NORMAL
41,01/04/18 0:18,2.445718,48.61111,53.125,46.3107605,632.9861,76.66199,13.34635,16.21094,15.81308,15.05353,43.36131,NORMAL
42,01/04/18 0:19,2.46441,48.61111,53.1684,46.3107605,644.3287,78.49116,13.34635,16.13136,15.70457,15.08247,42.28162,NORMAL
43,01/04/18 0:20,2.445718,49.08854,53.03819,46.3107605,633.4491,76.95741,13.34635,16.16753,15.76968,15.11863,42.12564,NORMAL
